name,quadrant,ring,isNew,description
Sustainability,Production,Adopt,FALSE,"<p>Standards and methods for saving carbon dioxide in: <a href=""https://catena-x.net/en/mehrwerte/sustainability"">Link</a></p>"
Traceability,Production,Trial,FALSE,"<p>Continuous data chains over the whole lifecycle: <a href=""https://catena-x.net/en/mehrwerte/traceability"">Link</a></p>"
Circular Economy,Production,Adopt,FALSE,"<p>Coherent information for maximal usage of resources: <a href=""https://catena-x.net/en/mehrwerte/circular-economy"">Link</a></p>"
Manufacturing as a Service,Standards and Methods,Assess,FALSE,"<p>Manufacturing support within an international network: <a href=""https://catena-x.net/en/mehrwerte/manufacturing-as-a-service"">Link</a></p>"
Business Partner Data Management,Management,Assess,FALSE,"<p>Harmonization of identical data of different sources: <a href=""https://catena-x.net/en/angebote/bpdm"">Link</a></p>"
Quality management,Management,Adopt,FALSE,"<p>Data-based throughout the whole value chain: <a href=""https://catena-x.net/en/mehrwerte/data-based-quality-management"">Link</a></p>"
Modular production,Standards and Methods,Assess,FALSE,"<p>data-based industrial standards to optimize manufacturing: <a href=""https://catena-x.net/en/mehrwerte/modular-production"">Link</a></p>"
Online Control and Simulation,Management,Hold,FALSE,"<p>Efficiency in the flow of materials: <a href=""https://catena-x.net/en/mehrwerte/online-steuerung-und-simulation"">Link</a></p>"
Demand and capacity management,Management,Hold,FALSE,"<p>Secure exchange of real data within collaborations: <a href=""https://catena-x.net/en/mehrwerte/bedarfs-und-kapazitaetsmanagement"">Link</a></p>"
Digital Behavior Twins,Digitalization,Assess,FALSE,"<p>Data-based and model-centric support of development and operations: <a href=""https://catena-x.net/en/mehrwerte/digital-behavior-twins"">Link</a></p>"
